floor,number_of_storeys,ceiling_height,target_price,total_area,living_area,kitchen_area,district,near_the_subway,number_of_rooms,house_type,bathroom,balcony,year_built
3.0,9.0,2.5,66000.0,47.0,28.5,7.2,Sovetsky,No,2,panel,separate,Loggia,1977.0
4.0,5.0,2.5,50000.0,50.24,33.82,6.18,Oktyabrsky,Yes,2,panel,separate,Balcony,1972.0
9.0,10.0,2.52,119000.0,67.6,41.9,14.2,Pervomaisky,Yes,2,brick,separate,Loggia,2000.0
5.0,10.0,2.55,97000.0,69.1,43.7,8.9,Oktyabrsky,Yes,3,panel,separate,Loggia,2000.0
3.0,12.0,2.7,198000.0,85.8,44.97,13.0,Pervomaisky,Yes,3,frame-block,combined,Two balconies,2021.0
7.0,16.0,2.7,69000.0,60.0,35.0,17.0,Oktyabrsky,Yes,3,frame-block,separate,Loggia,2020.0
13.0,16.0,2.7,38000.0,30.6,23.53,7.07,Oktyabrsky,Yes,1,frame-block,combined,Loggia,2020.0
8.0,10.0,2.54,66000.0,49.4,28.6,7.2,Frunzensky,Yes,2,panel,separate,Loggia,1988.0
2.0,24.0,2.7,80000.0,51.5,38.2,8.0,Pervomaisky,Yes,2,frame-block,combined,Loggia,2020.0
1.0,9.0,2.55,118000.0,96.0,60.5,12.3,Tsentralny,No,4,panel,separate,Loggia,2005.0
2.0,5.0,2.53,62000.0,50.24,33.93,6.13,Sovetsky,Yes,2,panel,separate,Balcony,1973.0
7.0,25.0,2.7,64000.0,48.7,40.0,8.0,Oktyabrsky,Yes,2,frame-block,combined,Loggia,2021.0
4.0,5.0,2.52,49000.0,47.8,31.6,6.2,Zavodskoy,No,2,panel,separate,Balcony,1967.0
7.0,16.0,2.7,65000.0,57.42,40.23,8.0,Oktyabrsky,Yes,3,frame-block,separate,Loggia,2021.0
12.0,20.0,2.86,102000.0,46.6,32.5,10.0,Tsentralny,No,2,frame-block,combined,Loggia,2018.0
8.0,16.0,2.7,65000.0,57.42,40.23,8.0,Oktyabrsky,Yes,3,frame-block,separate,Loggia,2021.0
5.0,9.0,2.5,39000.0,33.0,17.0,7.0,Zavodskoy,No,1,panel,separate,Loggia,1983.0
15.0,25.0,2.7,36000.0,29.3,20.0,5.0,Oktyabrsky,Yes,1,frame-block,combined,Loggia,2021.0
1.0,5.0,2.52,59000.0,38.4,23.7,6.2,Sovetsky,Yes,2,panel,separate,Without,1968.0
4.0,24.0,2.7,90000.0,61.0,45.0,11.0,Pervomaisky,Yes,3,frame-block,separate,Loggia,2019.0
1.0,9.0,2.5,66000.0,51.15,27.9,9.0,Moskovsky,Yes,2,brick,separate,Loggia,2021.0
2.0,5.0,2.7,55000.0,54.6,36.8,7.9,Frunzensky,Yes,3,panel,separate,Balcony,1972.0
2.0,16.0,2.7,66000.0,57.98,38.92,8.0,Oktyabrsky,Yes,3,frame-block,separate,Loggia,2021.0
1.0,9.0,2.5,68000.0,52.59,31.12,9.96,Moskovsky,Yes,2,frame-block,separate,Loggia,2021.0
7.0,17.0,2.7,74000.0,51.0,30.0,10.0,Moskovsky,Yes,2,frame-block,combined,Loggia,2021.0
14.0,16.0,2.7,67000.0,58.97,41.65,8.0,Oktyabrsky,Yes,3,frame-block,separate,Loggia,2021.0
1.0,9.0,2.5,68000.0,51.87,30.88,9.68,Moskovsky,Yes,2,frame-block,separate,Loggia,2021.0
4.0,16.0,2.7,58000.0,59.43,41.62,8.0,Oktyabrsky,Yes,3,frame-block,separate,Loggia,2021.0
18.0,24.0,2.7,37000.0,31.3,11.7,7.11,Oktyabrsky,Yes,1,frame-block,combined,Loggia,2021.0
21.0,25.0,2.7,63000.0,52.0,40.0,10.0,Oktyabrsky,Yes,3,frame-block,combined,Loggia,2021.0
4.0,9.0,2.56,82000.0,50.8,28.1,8.7,Oktyabrsky,No,2,panel,separate,Loggia,2010.0
8.0,19.0,2.7,36000.0,29.9,27.0,8.0,Oktyabrsky,Yes,1,frame-block,combined,Loggia,2021.0
3.0,16.0,2.7,67000.0,60.25,44.14,8.0,Oktyabrsky,Yes,3,frame-block,separate,Loggia,2021.0
1.0,15.0,2.7,174000.0,129.0,71.9,14.7,Sovetsky,No,3,frame-block,2,Two balconies,2012.0
7.0,9.0,2.53,82000.0,65.5,43.5,7.2,Moskovsky,Yes,3,panel,separate,Loggia,1986.0
8.0,19.0,2.65,103000.0,81.8,45.0,13.1,Moskovsky,Yes,3,panel,separate,Loggia,2012.0
6.0,14.0,2.5,135000.0,73.6,45.2,10.0,Sovetsky,No,3,brick,separate,Balcony,2004.0
19.0,20.0,2.6,68000.0,41.8,17.4,10.5,Tsentralny,No,1,frame-block,combined,Loggia,2014.0
10.0,12.0,2.7,77000.0,66.65,37.99,8.74,Leninsky,No,3,panel,separate,Loggia,1976.0
1.0,9.0,2.55,61000.0,48.9,28.2,7.2,Moskovsky,Yes,2,panel,separate,Loggia,1978.0
2.0,16.0,2.7,85000.0,78.12,57.43,8.0,Oktyabrsky,Yes,4,frame-block,separate,Loggia,2021.0
10.0,12.0,2.65,54000.0,49.5,29.0,8.8,Leninsky,No,2,panel,separate,Loggia,1983.0
15.0,24.0,2.7,95000.0,61.0,40.0,15.0,Pervomaisky,Yes,2,monolithic,combined,Balcony,2021.0
6.0,9.0,2.7,66000.0,46.9,28.6,7.1,Frunzensky,Yes,2,panel,separate,Loggia,1990.0
15.0,24.0,2.7,75000.0,48.0,25.0,15.0,Pervomaisky,Yes,1,monolithic,combined,Balcony,2021.0
7.0,9.0,2.53,46000.0,33.0,17.1,7.1,Frunzensky,Yes,1,panel,separate,Loggia,1975.0
3.0,11.0,3.13,155000.0,117.5,62.4,18.5,Frunzensky,Yes,4,frame-block,separate,Loggia,2002.0
3.0,9.0,2.7,65000.0,63.3,43.6,7.2,Partizansky,No,3,panel,separate,Loggia,1984.0
7.0,9.0,2.55,75000.0,67.6,47.0,9.0,Leninsky,No,3,panel,combined,Loggia,1973.0
7.0,25.0,2.7,36000.0,29.5,12.05,7.17,Oktyabrsky,Yes,1,frame-block,combined,Loggia,2021.0
3.0,9.0,2.56,92000.0,79.2,46.7,10.2,Frunzensky,No,3,panel,separate,Loggia,2007.0
2.0,9.0,2.5,73000.0,55.1,30.11,9.68,Moskovsky,Yes,2,frame-block,separate,Loggia,2021.0
6.0,9.0,2.5,123000.0,97.5,57.9,11.9,Frunzensky,Yes,4,block-rooms,separate,Loggia,1999.0
1.0,5.0,2.7,65000.0,53.1,34.7,6.4,Zavodskoy,No,2,brick,separate,Loggia,1967.0
2.0,14.0,2.7,60000.0,47.1,27.4,8.0,Tsentralny,No,2,brick,separate,Loggia,1976.0
6.0,12.0,2.75,210000.0,123.9,79.6,11.0,Sovetsky,Yes,3,frame-block,separate,Loggia,2019.0
2.0,9.0,2.7,58000.0,42.0,17.0,7.0,Tsentralny,No,1,panel,separate,Two balconies,1986.0
18.0,25.0,2.7,63000.0,56.2,39.78,5.0,Oktyabrsky,Yes,3,frame-block,combined,Two balconies,2021.0
10.0,21.0,2.7,149000.0,102.7,47.2,19.1,Pervomaisky,Yes,3,brick,separate,Balcony,2009.0
7.0,16.0,2.7,65000.0,55.98,42.0,12.0,Oktyabrsky,Yes,3,frame-block,separate,Loggia,2021.0
5.0,5.0,2.7,49000.0,64.2,26.89,28.0,Oktyabrsky,No,3,brick,combined,Loggia,2021.0
3.0,3.0,2.7,80000.0,107.3,70.0,20.0,Tsentralny,No,3,silicate,combined,Without,2020.0
8.0,25.0,2.7,72000.0,63.3,43.25,10.0,Oktyabrsky,Yes,3,frame-block,separate,Loggia,2021.0
8.0,16.0,2.7,65000.0,55.98,45.0,10.0,Oktyabrsky,Yes,3,frame-block,separate,Loggia,2021.0
9.0,25.0,2.7,36000.0,29.5,12.25,7.47,Oktyabrsky,Yes,1,frame-block,combined,Loggia,2021.0
3.0,3.0,3.0,599000.0,268.0,197.0,9.0,Frunzensky,Yes,7,frame-block,more than 2,Balcony,2005.0
9.0,9.0,2.54,54000.0,38.1,21.4,7.2,Sovetsky,Yes,2,panel,separate,Balcony,1973.0
1.0,9.0,2.5,87000.0,73.88,40.11,12.64,Moskovsky,Yes,3,frame-block,separate,Loggia,2021.0
16.0,16.0,2.7,35000.0,29.31,22.0,6.0,Oktyabrsky,Yes,1,frame-block,combined,Loggia,2021.0
12.0,16.0,2.63,75000.0,57.6,25.0,12.4,Pervomaisky,Yes,1,panel,separate,Loggia,2017.0
10.0,16.0,2.7,37000.0,30.5,24.0,6.0,Oktyabrsky,Yes,1,frame-block,combined,Loggia,2020.0
8.0,25.0,2.7,72000.0,63.3,43.25,10.0,Oktyabrsky,Yes,3,frame-block,separate,Loggia,2021.0
1.0,5.0,2.53,49000.0,37.8,23.7,6.1,Leninsky,No,2,panel,separate,Balcony,1972.0
5.0,25.0,2.7,125000.0,88.0,46.3,13.7,Sovetsky,No,3,frame-block,separate,Two balconies,2017.0
4.0,9.0,2.53,41000.0,33.43,16.74,7.1,Zavodskoy,Yes,1,panel,separate,Without,1982.0
1.0,9.0,2.5,85000.0,74.08,39.71,13.14,Moskovsky,Yes,3,frame-block,separate,Loggia,2021.0
1.0,5.0,2.54,49000.0,31.6,17.9,5.2,Frunzensky,No,1,brick,combined,Loggia,1970.0
5.0,5.0,2.48,58000.0,33.7,20.3,5.9,Tsentralny,No,2,brick,combined,Without,1961.0
5.0,10.0,2.7,170000.0,55.7,28.3,10.0,Pervomaisky,Yes,2,brick,combined,Loggia,1993.0
4.0,12.0,2.72,125000.0,74.0,49.0,11.0,Sovetsky,Yes,2,frame-block,separate,Loggia,2019.0
3.0,25.0,2.7,47000.0,39.56,33.0,6.0,Oktyabrsky,Yes,2,frame-block,separate,Loggia,2021.0
13.0,25.0,2.7,62000.0,56.8,50.0,6.0,Oktyabrsky,Yes,3,frame-block,separate,Loggia,2021.0
4.0,5.0,2.51,65000.0,48.6,31.87,7.42,Frunzensky,Yes,2,block-rooms,separate,Loggia,1971.0
2.0,5.0,2.89,97000.0,38.4,20.0,8.2,Tsentralny,Yes,1,brick,combined,Without,1959.0
16.0,25.0,2.7,35000.0,29.3,25.0,4.0,Oktyabrsky,Yes,1,frame-block,combined,Loggia,2021.0
4.0,5.0,2.51,45000.0,30.4,17.3,5.7,Leninsky,Yes,1,brick,combined,Balcony,1961.0
7.0,9.0,2.7,87000.0,66.7,43.4,8.9,Frunzensky,No,3,panel,separate,Loggia,2006.0
5.0,5.0,3.2,129000.0,52.27,30.33,6.07,Partizansky,Yes,2,brick,separate,Balcony,1948.0
8.0,9.0,2.7,55000.0,51.4,30.8,7.1,Zavodskoy,Yes,2,panel,separate,Loggia,1974.0
7.0,20.0,2.73,80000.0,70.2,55.0,11.0,Oktyabrsky,Yes,3,block-rooms,2,Two balconies,2020.0
2.0,20.0,2.7,38000.0,30.6,24.0,6.0,Oktyabrsky,Yes,1,frame-block,combined,Loggia,2020.0
5.0,5.0,2.7,230000.0,80.5,50.1,9.4,Tsentralny,Yes,3,brick,separate,Balcony,1952.0
6.0,10.0,2.7,107000.0,79.2,43.9,10.3,Oktyabrsky,No,3,panel,separate,Loggia,2021.0
6.0,9.0,2.7,65000.0,72.0,43.5,9.4,Zavodskoy,No,3,panel,separate,Two balconies,1980.0
3.0,9.0,2.7,77000.0,67.4,36.2,10.8,Frunzensky,No,2,panel,2,Loggia,2006.0
7.0,19.0,2.62,89000.0,60.7,31.1,9.5,Tsentralny,No,2,panel,separate,Loggia,2004.0
2.0,25.0,2.7,82000.0,70.9,58.68,6.86,Oktyabrsky,Yes,4,frame-block,separate,Two balconies,2021.0
9.0,20.0,2.71,59000.0,57.0,40.0,11.0,Oktyabrsky,Yes,2,frame-block,combined,Loggia,2021.0
13.0,15.0,2.7,87000.0,72.8,60.0,11.0,Oktyabrsky,Yes,3,frame-block,separate,Loggia,2021.0
19.0,19.0,2.7,88000.0,68.4,31.1,13.0,Leninsky,No,2,panel,separate,Two balconies,2019.0
1.0,9.0,2.7,13000.0,83.8,10.3,8.4,Zavodskoy,No,4,panel,separate,Without,1985.0
1.0,2.0,3.1,49000.0,42.3,25.3,6.4,Zavodskoy,Yes,2,block-rooms,separate,Without,1949.0
25.0,25.0,2.7,36000.0,29.2,21.0,7.2,Oktyabrsky,Yes,1,frame-block,combined,Loggia,2021.0
2.0,25.0,2.7,64000.0,55.5,33.19,6.59,Oktyabrsky,Yes,3,frame-block,combined,Two balconies,2021.0
3.0,15.0,2.7,65000.0,54.1,44.0,5.0,Oktyabrsky,Yes,2,frame-block,separate,Loggia,2021.0
7.0,14.0,2.7,85000.0,64.0,38.2,9.1,Frunzensky,No,3,brick,combined,Loggia,1995.0
18.0,25.0,2.7,52000.0,43.8,33.0,9.0,Oktyabrsky,Yes,2,frame-block,combined,Loggia,2021.0
3.0,16.0,2.54,108000.0,87.4,60.0,9.0,Pervomaisky,Yes,4,monolithic,separate,Two balconies,1973.0
15.0,25.0,2.7,50000.0,43.0,28.0,9.0,Oktyabrsky,Yes,2,frame-block,separate,Balcony,2021.0
3.0,15.0,2.7,51000.0,41.7,35.0,5.0,Oktyabrsky,Yes,2,frame-block,combined,Loggia,2021.0
9.0,20.0,2.71,58000.0,57.0,35.0,11.0,Oktyabrsky,Yes,2,frame-block,combined,Loggia,2021.0
6.0,9.0,2.62,95000.0,85.84,51.85,9.18,Pervomaisky,No,4,panel,separate,Two balconies,1979.0
9.0,13.0,2.52,166000.0,126.1,80.9,12.5,Frunzensky,No,4,brick,separate,Two balconies,2007.0
15.0,15.0,2.7,51000.0,41.1,35.0,5.0,Oktyabrsky,Yes,2,frame-block,separate,Loggia,2021.0
18.0,25.0,2.7,35000.0,28.6,20.0,7.0,Oktyabrsky,Yes,1,frame-block,combined,Loggia,2021.0
23.0,27.0,2.51,119000.0,81.5,39.9,15.2,Sovetsky,No,3,frame-block,2,Loggia,2020.0
8.0,15.0,2.7,39000.0,31.3,27.0,4.0,Oktyabrsky,Yes,1,frame-block,combined,Loggia,2021.0
9.0,9.0,2.7,53000.0,34.0,17.1,7.1,Frunzensky,Yes,1,panel,separate,Loggia,1989.0
1.0,5.0,2.5,49000.0,30.8,19.3,5.8,Zavodskoy,Yes,1,panel,combined,Without,1962.0
3.0,3.0,2.9,75000.0,48.5,25.2,7.3,Leninsky,Yes,2,brick,separate,Loggia,1954.0
1.0,9.0,2.7,89000.0,46.6,25.0,10.0,Tsentralny,No,2,panel,combined,Loggia,2020.0
5.0,15.0,2.7,39000.0,31.2,27.0,4.0,Oktyabrsky,Yes,1,frame-block,combined,Loggia,2021.0
2.0,5.0,2.7,52000.0,44.3,28.6,5.7,Oktyabrsky,Yes,2,brick,combined,Without,1962.0
2.0,5.0,2.7,41000.0,38.3,16.7,8.1,Partizansky,Yes,1,brick,separate,Loggia,1960.0
2.0,2.0,2.79,55000.0,49.4,29.7,6.8,Partizansky,Yes,2,brick,separate,Balcony,1949.0
15.0,25.0,2.7,46000.0,38.6,19.17,6.35,Oktyabrsky,Yes,2,frame-block,combined,Loggia,2021.0
6.0,16.0,2.7,65000.0,54.3,42.0,10.0,Oktyabrsky,Yes,3,frame-block,separate,Loggia,2021.0
16.0,25.0,2.7,38000.0,31.9,17.06,8.72,Oktyabrsky,Yes,1,frame-block,combined,Loggia,2021.0
3.0,10.0,2.7,64000.0,40.6,17.1,9.5,Moskovsky,No,1,panel,separate,Loggia,2006.0
7.0,19.0,2.7,86000.0,57.5,31.2,9.5,Frunzensky,Yes,2,panel,separate,Loggia,2019.0
2.0,9.0,2.54,79000.0,72.3,46.42,7.12,Oktyabrsky,Yes,3,panel,separate,Loggia,1977.0
5.0,5.0,2.52,50000.0,44.9,27.7,5.7,Pervomaisky,Yes,2,panel,separate,Balcony,1967.0
2.0,16.0,2.7,38000.0,31.3,20.0,8.3,Oktyabrsky,Yes,1,frame-block,combined,Loggia,2021.0
16.0,16.0,2.7,72000.0,64.6,48.0,8.0,Oktyabrsky,Yes,3,frame-block,separate,Loggia,2021.0
13.0,16.0,2.7,39000.0,33.69,14.0,6.0,Oktyabrsky,Yes,1,frame-block,combined,Loggia,2021.0
10.0,16.0,2.7,40000.0,33.99,15.0,6.0,Oktyabrsky,Yes,1,frame-block,combined,Loggia,2021.0
6.0,9.0,2.5,42000.0,33.9,16.9,7.1,Frunzensky,Yes,1,panel,separate,Loggia,1984.0
7.0,17.0,2.7,63000.0,43.3,30.8,10.0,Moskovsky,Yes,1,frame-block,combined,Loggia,2021.0
8.0,9.0,2.7,73000.0,59.0,30.0,12.4,Leninsky,Yes,2,panel,separate,Loggia,2014.0
12.0,25.0,2.72,41000.0,31.0,18.1,7.1,Oktyabrsky,Yes,1,frame-block,combined,Two balconies,2021.0
6.0,10.0,2.62,92000.0,80.6,41.8,12.6,Moskovsky,Yes,2,panel,separate,Balcony,2005.0
3.0,4.0,3.0,61000.0,49.43,28.78,6.89,Partizansky,Yes,2,brick,separate,Without,1955.0
12.0,25.0,2.7,46000.0,38.4,23.89,10.0,Oktyabrsky,Yes,2,frame-block,combined,Loggia,2021.0
12.0,25.0,2.7,46000.0,38.4,23.89,10.0,Oktyabrsky,Yes,2,frame-block,combined,Loggia,2021.0
7.0,9.0,2.55,62000.0,49.0,28.4,7.2,Frunzensky,No,2,panel,separate,Loggia,1993.0
12.0,25.0,2.7,46000.0,38.4,23.98,10.0,Oktyabrsky,Yes,2,frame-block,combined,Loggia,2021.0
12.0,25.0,2.7,46000.0,38.4,23.98,10.0,Oktyabrsky,Yes,2,frame-block,combined,Loggia,2021.0
12.0,25.0,2.7,46000.0,38.4,23.89,10.0,Oktyabrsky,Yes,2,frame-block,combined,Loggia,2021.0
12.0,25.0,2.7,46000.0,38.4,23.98,10.0,Oktyabrsky,Yes,2,frame-block,combined,Loggia,2021.0
12.0,25.0,2.7,46000.0,38.4,23.98,10.0,Oktyabrsky,Yes,2,frame-block,combined,Loggia,2021.0
12.0,25.0,2.7,46000.0,38.4,23.98,10.0,Oktyabrsky,Yes,2,frame-block,combined,Loggia,2021.0
5.0,5.0,2.7,20000.0,48.7,33.7,6.0,Pervomaisky,No,3,panel,separate,Balcony,1966.0
2.0,9.0,2.5,89000.0,64.4,40.3,7.3,Tsentralny,No,3,brick,separate,Balcony,1987.0
1.0,9.0,2.54,43000.0,35.4,17.1,7.2,Frunzensky,Yes,1,panel,separate,Loggia,1978.0
2.0,9.0,2.54,89000.0,62.6,42.8,7.1,Pervomaisky,Yes,3,panel,separate,Two balconies,1974.0
2.0,12.0,2.7,51000.0,36.9,17.9,8.0,Zavodskoy,No,1,brick,separate,Loggia,1990.0
4.0,5.0,2.7,119000.0,95.1,64.0,10.87,Pervomaisky,Yes,4,brick,2,Without,1963.0
1.0,9.0,2.7,52000.0,42.5,17.8,9.0,Leninsky,No,1,block-rooms,separate,Loggia,2002.0
2.0,15.0,2.7,50000.0,41.6,26.0,10.0,Oktyabrsky,Yes,2,monolithic,separate,Loggia,2021.0
7.0,9.0,2.72,170000.0,90.2,57.3,10.9,Sovetsky,No,3,frame-block,2,Loggia,2011.0
5.0,9.0,2.7,79000.0,65.0,42.0,7.0,Frunzensky,Yes,3,panel,separate,Two balconies,1991.0
6.0,12.0,2.64,90000.0,81.7,51.3,8.8,Frunzensky,No,4,panel,separate,Loggia,1996.0
6.0,12.0,2.7,72000.0,52.1,29.0,8.9,Leninsky,Yes,2,brick,separate,Loggia,1992.0
1.0,5.0,2.53,49000.0,41.8,26.7,6.0,Pervomaisky,Yes,2,silicate,combined,Without,1962.0
1.0,8.0,2.55,114000.0,61.6,36.2,9.3,Oktyabrsky,No,2,panel,separate,Loggia,2021.0
9.0,9.0,2.7,68000.0,49.3,28.6,7.2,Sovetsky,Yes,2,panel,separate,Loggia,1990.0
1.0,5.0,2.51,43000.0,31.0,18.0,6.3,Tsentralny,No,1,panel,combined,Without,1963.0
8.0,16.0,2.7,129000.0,61.0,30.0,20.0,Pervomaisky,Yes,2,monolithic,combined,Loggia,2016.0
4.0,5.0,2.5,64000.0,47.26,27.4,7.39,Tsentralny,No,2,brick,separate,Balcony,1987.0
16.0,20.0,2.7,89000.0,63.0,28.7,12.7,Frunzensky,No,2,frame-block,separate,Loggia,2013.0
7.0,16.0,2.7,62000.0,58.05,49.0,8.0,Oktyabrsky,Yes,3,frame-block,separate,Loggia,2021.0
7.0,9.0,2.54,49000.0,33.5,17.2,7.3,Frunzensky,No,1,panel,separate,Loggia,1994.0
8.0,25.0,2.7,36000.0,30.2,14.25,7.47,Oktyabrsky,Yes,1,monolithic,separate,Loggia,2021.0
24.0,25.0,2.7,35000.0,28.9,15.34,7.95,Oktyabrsky,Yes,1,monolithic,separate,Loggia,2021.0
3.0,9.0,2.55,92000.0,86.8,55.6,7.2,Oktyabrsky,Yes,4,panel,separate,Loggia,1989.0
3.0,16.0,2.7,63000.0,58.52,48.0,9.0,Oktyabrsky,Yes,3,panel,separate,Loggia,2021.0
11.0,16.0,2.7,40000.0,34.0,16.0,11.0,Oktyabrsky,Yes,1,frame-block,separate,Loggia,2021.0
2.0,16.0,2.7,40000.0,33.65,28.0,5.0,Oktyabrsky,Yes,2,frame-block,separate,Loggia,2021.0
1.0,10.0,2.55,89000.0,98.0,54.2,10.2,Moskovsky,No,4,panel,separate,Loggia,2015.0
15.0,16.0,2.7,62000.0,57.87,48.0,9.0,Oktyabrsky,Yes,3,frame-block,separate,Loggia,2021.0
8.0,16.0,2.7,40000.0,33.56,28.0,4.0,Oktyabrsky,Yes,1,frame-block,combined,Loggia,2021.0
3.0,5.0,2.7,65000.0,56.42,40.93,5.78,Tsentralny,No,3,monolithic,separate,Loggia,1962.0
2.0,14.0,2.71,102000.0,87.1,46.1,11.8,Pervomaisky,No,3,brick,separate,Two balconies,1999.0
5.0,5.0,2.5,62000.0,64.07,44.48,6.42,Zavodskoy,No,3,brick,separate,Balcony,1974.0
9.0,16.0,2.7,37000.0,30.61,25.0,5.0,Oktyabrsky,Yes,1,frame-block,combined,Loggia,2021.0
13.0,16.0,2.7,86000.0,72.8,66.0,12.0,Oktyabrsky,Yes,3,frame-block,separate,Two balconies,2021.0
2.0,3.0,2.7,169000.0,107.2,64.6,10.2,Tsentralny,No,3,silicate,separate,Loggia,2010.0
4.0,16.0,2.7,36000.0,29.94,25.0,4.0,Oktyabrsky,Yes,1,frame-block,combined,Loggia,2021.0
11.0,16.0,2.7,50000.0,43.1,28.0,10.0,Oktyabrsky,Yes,2,frame-block,separate,Loggia,2021.0
10.0,16.0,2.7,88000.0,74.1,66.0,12.0,Oktyabrsky,Yes,3,frame-block,separate,Two balconies,2021.0
8.0,8.0,2.7,79000.0,71.9,61.0,10.0,Oktyabrsky,Yes,4,frame-block,separate,Loggia,2021.0
3.0,16.0,2.7,34000.0,28.71,24.0,4.0,Oktyabrsky,Yes,1,frame-block,combined,Loggia,2021.0
2.0,25.0,2.7,61000.0,57.18,45.0,11.0,Oktyabrsky,Yes,3,frame-block,combined,Loggia,2021.0
10.0,16.0,2.7,90000.0,76.1,66.5,12.0,Oktyabrsky,Yes,3,frame-block,separate,Two balconies,2021.0
2.0,25.0,2.7,73000.0,76.02,62.0,12.0,Oktyabrsky,Yes,3,frame-block,separate,Loggia,2021.0
1.0,15.0,2.7,99000.0,61.41,35.94,7.14,Tsentralny,No,3,brick,separate,Loggia,1985.0
5.0,25.0,2.7,57000.0,51.8,28.0,12.0,Oktyabrsky,Yes,2,frame-block,separate,Loggia,2021.0
2.0,3.0,2.85,86000.0,76.9,49.9,6.3,Moskovsky,Yes,3,brick,separate,Without,1957.0
4.0,16.0,2.7,56000.0,54.7,48.0,15.0,Oktyabrsky,Yes,3,panel,separate,Loggia,2021.0
3.0,5.0,2.7,379000.0,115.9,71.2,14.2,Tsentralny,No,3,frame-block,2,Two balconies,2008.0
4.0,9.0,2.5,51000.0,34.0,17.0,7.0,Leninsky,No,1,brick,separate,Balcony,1971.0
5.0,5.0,3.0,190000.0,75.71,48.86,7.55,Tsentralny,Yes,3,brick,separate,Balcony,1956.0
4.0,5.0,2.54,44000.0,30.7,19.0,5.8,Frunzensky,Yes,1,panel,combined,Loggia,1964.0
5.0,25.0,2.7,57000.0,51.8,28.0,15.0,Oktyabrsky,Yes,3,frame-block,separate,Loggia,2021.0
6.0,13.0,2.52,139000.0,83.1,48.0,15.4,Sovetsky,No,3,brick,separate,Loggia,2002.0
14.0,25.0,2.7,72000.0,63.3,50.0,12.0,Oktyabrsky,Yes,3,frame-block,separate,Loggia,2021.0
8.0,9.0,2.7,85000.0,75.0,44.7,11.3,Frunzensky,Yes,3,panel,separate,Loggia,2010.0
8.0,18.0,2.7,35000.0,29.6,23.58,6.0,Oktyabrsky,Yes,1,frame-block,separate,Loggia,2021.0
12.0,25.0,2.7,72000.0,62.9,51.0,10.0,Oktyabrsky,Yes,3,frame-block,separate,Loggia,2021.0
2.0,25.0,2.7,47000.0,39.8,30.0,8.0,Oktyabrsky,Yes,2,panel,combined,Loggia,2021.0
2.0,9.0,2.7,114000.0,74.9,44.4,9.5,Tsentralny,No,3,panel,separate,Loggia,2007.0
2.0,20.0,3.1,130000.0,110.0,70.0,20.0,Pervomaisky,Yes,3,frame-block,combined,Loggia,2018.0
4.0,9.0,2.5,78000.0,68.0,41.48,7.71,Sovetsky,No,3,panel,separate,Two balconies,1972.0
2.0,25.0,2.7,74000.0,76.67,65.0,11.0,Oktyabrsky,Yes,4,frame-block,separate,Two balconies,2021.0
17.0,25.0,2.7,36000.0,29.53,21.0,7.0,Oktyabrsky,Yes,1,frame-block,combined,Loggia,2021.0
6.0,9.0,2.54,42000.0,36.9,16.65,7.05,Zavodskoy,Yes,1,panel,separate,Without,1982.0
2.0,25.0,2.7,47000.0,39.8,31.0,8.0,Oktyabrsky,Yes,2,frame-block,combined,Loggia,2021.0
5.0,16.0,2.7,66000.0,54.5,47.14,15.0,Oktyabrsky,Yes,3,frame-block,separate,Loggia,2021.0
3.0,5.0,2.48,72000.0,39.15,22.9,6.16,Sovetsky,Yes,2,brick,separate,Balcony,1971.0
13.0,18.0,2.7,40000.0,29.3,13.9,9.0,Oktyabrsky,Yes,1,frame-block,combined,Loggia,2020.0
24.0,25.0,2.7,34000.0,29.3,22.0,6.0,Oktyabrsky,Yes,1,frame-block,combined,Loggia,2021.0
2.0,25.0,2.7,47000.0,39.8,33.0,4.0,Oktyabrsky,Yes,2,frame-block,combined,Loggia,2021.0
3.0,12.0,2.7,79000.0,66.2,38.2,9.0,Moskovsky,No,3,panel,separate,Loggia,1992.0
5.0,12.0,2.71,57000.0,42.4,18.1,10.7,Frunzensky,No,1,frame-block,combined,Loggia,2014.0
4.0,25.0,2.7,49000.0,39.7,21.0,4.0,Oktyabrsky,Yes,2,frame-block,combined,Loggia,2021.0
1.0,9.0,2.7,73000.0,58.9,38.9,7.2,Tsentralny,No,3,panel,separate,Loggia,1986.0
2.0,25.0,2.7,47000.0,47.099,41.0,6.0,Oktyabrsky,Yes,2,frame-block,separate,Loggia,2021.0
12.0,25.0,2.7,46000.0,37.9,29.81,8.0,Oktyabrsky,Yes,2,frame-block,separate,Loggia,2021.0
2.0,10.0,2.5,46000.0,30.0,11.4,7.2,Frunzensky,Yes,1,panel,separate,Without,1990.0
21.0,25.0,2.7,37000.0,31.1,26.0,5.0,Oktyabrsky,Yes,1,frame-block,combined,Loggia,2021.0
23.0,25.0,2.7,37000.0,31.2,22.9,8.0,Oktyabrsky,Yes,1,frame-block,separate,Loggia,2021.0
24.0,25.0,2.7,35000.0,28.9,21.89,6.0,Oktyabrsky,Yes,1,frame-block,separate,Loggia,2021.0
1.0,9.0,2.5,99000.0,91.3,50.6,12.1,Frunzensky,No,3,panel,2,Balcony,2006.0
6.0,25.0,2.72,109000.0,63.4,30.5,12.1,Moskovsky,Yes,2,monolithic,separate,Loggia,2014.0
